Total params: 551,771,568
Trainable params: 274,802,328
 2026-08-17 at 04:46:34 | Using device: cuda
 2026-08-17 at 06:58:58 | Epoch [10] | IndicVoices predictions metrics | T2A: R@1=0.005, R@5=0.013, R@10=0.031, MedR=262.000, MeanR=321.107, mAP=0.019 | A2T: R@1=0.004, R@5=0.021, R@10=0.042, MedR=227.000, MeanR=289.121, mAP=0.022
 2026-08-17 at 06:58:58 | Epoch [10] | IndicVoices ema projections metrics | T2A: R@1=0.001, R@5=0.005, R@10=0.015, MedR=510.000, MeanR=591.905, mAP=0.007 | A2T: R@1=0.001, R@5=0.004, R@10=0.007, MedR=562.000, MeanR=627.445, mAP=0.006
 2026-08-17 at 06:58:58 | Epoch [10] | IndicVoices ema predictions metrics | T2A: R@1=0.005, R@5=0.021, R@10=0.040, MedR=292.000, MeanR=354.352, mAP=0.020 | A2T: R@1=0.003, R@5=0.020, R@10=0.039, MedR=245.000, MeanR=304.533, mAP=0.020
 2026-08-17 at 07:00:07 | Epoch [11] | Rasa projections metrics | T2A: R@1=0.002, R@5=0.010, R@10=0.022, MedR=264.000, MeanR=369.858, mAP=0.013 | A2T: R@1=0.001, R@5=0.010, R@10=0.016, MedR=319.000, MeanR=415.648, mAP=0.011
 2026-08-17 at 07:00:07 | Epoch [11] | Rasa predictions metrics | T2A: R@1=0.016, R@5=0.088, R@10=0.149, MedR=46.000, MeanR=79.309, mAP=0.067 | A2T: R@1=0.026, R@5=0.094, R@10=0.167, MedR=49.000, MeanR=78.449, mAP=0.078
 2026-08-17 at 07:00:07 | Epoch [11] | Rasa ema projections metrics | T2A: R@1=0.003, R@5=0.009, R@10=0.018, MedR=277.000, MeanR=383.228, mAP=0.013 | A2T: R@1=0.001, R@5=0.009, R@10=0.021, MedR=342.000, MeanR=423.689, mAP=0.012
 2026-08-17 at 07:00:08 | Epoch [11] | Rasa ema predictions metrics | T2A: R@1=0.020, R@5=0.088, R@10=0.171, MedR=47.000, MeanR=75.772, mAP=0.071 | A2T: R@1=0.019, R@5=0.099, R@10=0.178, MedR=46.000, MeanR=73.060, mAP=0.075
 2026-08-17 at 07:00:08 | Epoch [11] | IndicVoices projections metrics | T2A: R@1=0.001, R@5=0.005, R@10=0.011, MedR=408.000, MeanR=500.674, mAP=0.008 | A2T: R@1=0.001, R@5=0.005, R@10=0.006, MedR=510.000, MeanR=589.525, mAP=0.007
 2026-08-17 at 07:00:08 | Epoch [11] | IndicVoices predictions metrics | T2A: R@1=0.004, R@5=0.017, R@10=0.035, MedR=239.000, MeanR=299.133, mAP=0.020 | A2T: R@1=0.004, R@5=0.025, R@10=0.039, MedR=247.000, MeanR=296.011, mAP=0.021
 2026-08-17 at 07:00:08 | Epoch [11] | IndicVoices ema projections metrics | T2A: R@1=0.001, R@5=0.007, R@10=0.015, MedR=423.000, MeanR=515.536, mAP=0.009 | A2T: R@1=0.000, R@5=0.004, R@10=0.007, MedR=499.000, MeanR=584.713, mAP=0.007
